,dangerLevel,elevation_th,HN72_24,HN24_7d,Pen_depth,HN24,min_ccl_pen,RH,wind_trans24_3d,wind_trans24,wind_trans24_7d,warnreg
128113,1.0,1000.0,0.0,0.0,7.569876167807049,0.0,3.0,68.73750000000001,0.0,0.0,0.0,16.0
128120,1.0,1000.0,0.0,0.0,8.273176556519834,0.0,1.44,81.33749999999998,0.0,0.0,0.0,16.0
128127,1.0,1000.0,0.3055,3.25,9.94763490569556,0.0,1.36,80.475,0.0,0.0,0.0,16.0
128130,1.0,1000.0,2.9560000000000004,2.96,8.02954071022099,0.33325,2.75,73.05,0.0,0.0,0.0,16.0
128132,1.0,1000.0,0.0,0.0,7.827189223878558,0.0,2.42,76.11249999999998,0.0,0.0,0.0,16.0
128134,1.0,1000.0,0.0,0.0,8.220186051015357,0.0,2.61,73.225,0.0,0.0,0.0,16.0
128136,1.0,1000.0,0.0,0.0,11.545052999792487,0.0,0.66,79.1375,0.0,0.0,0.0,16.0
128139,1.0,1000.0,0.0,0.0,7.904852599946232,0.0,3.0,68.775,0.0,0.0,0.0,16.0
128143,1.0,1000.0,0.0,0.0,8.244503514459922,0.0,1.29,83.875,0.0,0.0,0.0,16.0
128148,1.0,1000.0,0.0,0.0,8.253518263449877,0.0,2.71,81.0875,0.0,0.0,0.0,16.0
128150,1.0,1000.0,0.0,0.0,8.071021663795861,0.0,1.54,74.05000000000003,0.0,0.0,0.0,16.0
128152,1.0,1000.0,0.0,0.0,7.481815542741699,0.0,3.0,79.3625,0.0,0.0,0.0,16.0
128154,1.0,1000.0,0.91925,2.99,7.35372428201121,0.91925,2.69,84.1,0.0,0.0,0.0,16.0
128156,1.0,1000.0,0.0,0.0,8.388938133685642,0.0,1.52,83.02499999999998,0.0,0.0,0.0,16.0
128157,1.0,1000.0,0.0,0.0,7.974618944947535,0.0,2.24,71.9375,0.0,0.0,0.0,16.0
128161,1.0,1000.0,0.0,0.0,7.756042013809103,0.0,3.0,75.2,0.0,0.0,0.0,16.0
128167,1.0,1000.0,0.0,0.0,6.620576719330393,0.0,3.0,70.15,0.0,0.0,0.0,16.0
128169,1.0,1000.0,2.055,2.05,7.94014923970123,2.055,2.01,74.0,0.0,0.0,0.0,16.0
128170,1.0,1000.0,13.335,13.33,8.939836144604715,13.335,1.56,78.65,0.0,0.0,0.0,16.0
128172,1.0,1000.0,0.0,0.0,7.962878380812317,0.0,1.68,82.025,0.0,0.0,0.0,16.0
128173,1.0,1000.0,0.0,0.0,8.108360165953691,0.0,1.65,79.95,0.0,0.0,0.0,16.0
128180,1.0,1000.0,15.716125,15.72,8.038780532373188,2.38125,2.12,67.8875,0.08,0.0815,0.08,16.0
128185,1.0,1000.0,0.0,0.0,7.3257595153022015,0.0,3.0,70.68750000000001,0.0,0.0,0.0,16.0
128186,1.0,1000.0,0.0,0.0,8.349842983264116,0.0,2.58,59.7125,0.0,0.0,0.0,16.0
128192,1.0,1000.0,0.0,0.0,7.641266584985303,0.0,3.0,79.15000000000002,0.0,0.0,0.0,16.0
